Product ID,Invoice Date,Region,State,City,Gender Type,Operating Profit,Operating Margin,Sales Method
EE9798,12/10/2021,Northeast,Pennsylvania,Philadelphia,Men,41250,0.3,Outlet
EE8502,12/11/2021,Northeast,Pennsylvania,Philadelphia,Women,31500,0.35,Outlet
EF0450,12/12/2021,Northeast,Pennsylvania,Philadelphia,Women,27562.5,0.35,Outlet
CL7375,12/13/2021,Northeast,Pennsylvania,Philadelphia,Men,20625,0.3,Outlet
EF0446,12/14/2021,Northeast,Pennsylvania,Philadelphia,Women,33750,0.25,Outlet
EF0529,12/15/2021,Northeast,Pennsylvania,Philadelphia,Men,120000,0.5,Outlet
EE9940,12/16/2021,Northeast,Pennsylvania,Philadelphia,Men,33750,0.3,Outlet
EE4954,12/17/2021,Northeast,Pennsylvania,Philadelphia,Women,21875,0.35,Outlet
G27996,12/18/2021,Northeast,Pennsylvania,Philadelphia,Women,17500,0.35,Outlet
CL4156,12/19/2021,Northeast,Pennsylvania,Philadelphia,Men,18000,0.3,Outlet
EE4893,12/20/2021,Northeast,Pennsylvania,Philadelphia,Women,36562.5,0.25,Outlet
EE9937,12/21/2021,Northeast,Pennsylvania,Philadelphia,Men,144375,0.55,Outlet
G27649,12/22/2021,Northeast,Pennsylvania,Philadelphia,Men,42000,0.35,Outlet
EE9797,12/23/2021,Northeast,Pennsylvania,Philadelphia,Women,46800,0.4,Outlet
CI9914,12/24/2021,Northeast,Pennsylvania,Philadelphia,Women,42000,0.4,Outlet
EE8252,12/25/2021,Northeast,Pennsylvania,Philadelphia,Men,36750,0.35,Outlet
CK9664,12/26/2021,Northeast,Pennsylvania,Philadelphia,Women,56250,0.3,Outlet
EE8501,12/27/2021,Northeast,Pennsylvania,Philadelphia,Men,182875,0.55,Outlet
CL7602,12/28/2021,Northeast,Pennsylvania,Philadelphia,Men,57750,0.35,Outlet
CL7494,12/29/2021,Northeast,Pennsylvania,Philadelphia,Women,54000,0.4,Outlet
EE7923,12/30/2021,Northeast,Pennsylvania,Philadelphia,Women,42000,0.4,Outlet
EE5566,12/31/2021,Northeast,Pennsylvania,Philadelphia,Men,42875,0.35,Outlet
CI1821,1/1/2020,Northeast,Pennsylvania,Philadelphia,Women,61875,0.3,Outlet
CJ0082,10/26/2021,Northeast,Pennsylvania,Philadelphia,Men,706.02,0.41,Outlet
CJ8062,10/27/2021,Northeast,Pennsylvania,Philadelphia,Women,761.6,0.34,Outlet
EE6038,10/28/2021,Northeast,Pennsylvania,Philadelphia,Men,3187.2,0.6,Outlet
CM0068,10/29/2021,Northeast,Pennsylvania,Philadelphia,Men,563.2,0.4,Outlet
CK9830,10/30/2021,Northeast,Pennsylvania,Philadelphia,Women,607.5,0.45,Outlet
CJ0080,10/31/2021,Northeast,Pennsylvania,Philadelphia,Women,199.92,0.42,Outlet
EG4957,11/1/2021,Northeast,Pennsylvania,Philadelphia,Men,577.2,0.37,Outlet
BD7438,11/2/2021,Northeast,Pennsylvania,Philadelphia,Women,777,0.35,Outlet
B75579,11/3/2021,Northeast,Pennsylvania,Philadelphia,Men,3528.72,0.58,Outlet
CM0057,11/4/2021,Northeast,Pennsylvania,Philadelphia,Men,647.13,0.37,Outlet
CL0206,11/5/2021,Northeast,Pennsylvania,Philadelphia,Women,756.9,0.45,Outlet
CJ8058,11/6/2021,Northeast,Pennsylvania,Philadelphia,Women,112.64,0.44,Outlet
BZ0086,11/7/2021,Northeast,Pennsylvania,Philadelphia,Men,334.56,0.34,Outlet
CJ8117,11/8/2021,Northeast,Pennsylvania,Philadelphia,Women,718.58,0.31,Outlet
CJ8073,11/9/2021,Northeast,Pennsylvania,Philadelphia,Men,2793,0.57,Outlet
CL7551,11/10/2021,Northeast,Pennsylvania,Philadelphia,Men,603.84,0.32,Outlet
AC8122,11/11/2021,Northeast,Pennsylvania,Philadelphia,Women,578.34,0.42,Outlet
CM8453,11/12/2021,Northeast,Pennsylvania,Philadelphia,Women,328.32,0.38,Outlet
EE3625,11/13/2021,Northeast,Pennsylvania,Philadelphia,Men,432.9,0.37,Outlet
CM0031,11/14/2021,Northeast,Pennsylvania,Philadelphia,Women,673.92,0.27,Outlet
EE7697,11/15/2021,Northeast,Pennsylvania,Philadelphia,Men,3432,0.52,Outlet
F36159,11/16/2021,Northeast,Pennsylvania,Philadelphia,Men,712.8,0.33,Outlet
F35028,11/17/2021,Northeast,Pennsylvania,Philadelphia,Women,745.18,0.37,Outlet
AC7042,11/18/2021,Northeast,Pennsylvania,Philadelphia,Women,571.2,0.4,Outlet
CJ8053,11/19/2021,Northeast,Pennsylvania,Philadelphia,Men,735.93,0.37,Outlet
BC0836,11/20/2021,Northeast,Pennsylvania,Philadelphia,Women,1471.86,0.37,Outlet
F35275,11/21/2021,Northeast,Pennsylvania,Philadelphia,Men,4748.1,0.57,Outlet
CJ8115,11/22/2021,Northeast,Pennsylvania,Philadelphia,Men,1359.15,0.39,Outlet
CJ8089,11/23/2021,Northeast,Pennsylvania,Philadelphia,Women,975.24,0.43,Outlet
EE6128,11/24/2021,Northeast,Pennsylvania,Philadelphia,Women,1071.13,0.47,Outlet
CJ8118,11/25/2021,Northeast,Pennsylvania,Philadelphia,Men,866.88,0.42,Outlet
CL7328,11/26/2021,Northeast,Pennsylvania,Philadelphia,Women,1911,0.35,Outlet
CL7470,11/27/2021,Northeast,Pennsylvania,Philadelphia,Men,4887.75,0.57,Outlet
CL7541,11/28/2021,Northeast,Pennsylvania,Philadelphia,Men,1737.45,0.39,Outlet
CL9928,11/29/2021,Northeast,Pennsylvania,Philadelphia,Women,1331.28,0.43,Outlet
CM0045,11/30/2021,Northeast,Pennsylvania,Philadelphia,Women,1026.48,0.47,Outlet
CL7599,12/1/2021,Northeast,Pennsylvania,Philadelphia,Men,1280,0.4,Outlet
CM0069,12/2/2021,Northeast,Pennsylvania,Philadelphia,Women,2088,0.36,Outlet
CL7511,12/3/2021,Northeast,Pennsylvania,Philadelphia,Men,5294.82,0.58,Outlet
CL7552,12/4/2021,Northeast,Pennsylvania,Philadelphia,Men,1884.96,0.42,Outlet
EE9816,12/5/2021,Northeast,Pennsylvania,Philadelphia,Women,1410.94,0.47,Outlet
CL7545,12/6/2021,Northeast,Pennsylvania,Philadelphia,Women,1226.36,0.46,Outlet
EE5060,12/7/2021,Northeast,Pennsylvania,Philadelphia,Men,968.76,0.39,Outlet
F36718,12/8/2021,Northeast,Pennsylvania,Philadelphia,Women,2169.72,0.36,Outlet
CL9927,12/9/2021,Northeast,Pennsylvania,Philadelphia,Men,3875.04,0.52,Outlet
CL7285,12/10/2021,Northeast,Pennsylvania,Philadelphia,Men,1237.6,0.34,Outlet
CL7471,12/11/2021,Northeast,Pennsylvania,Philadelphia,Women,768,0.4,Outlet
B96360,12/12/2021,Northeast,Pennsylvania,Philadelphia,Women,695.36,0.41,Outlet
EE5778,12/13/2021,Northeast,Pennsylvania,Philadelphia,Men,501.84,0.34,Outlet
EE4519,12/14/2021,Northeast,Pennsylvania,Philadelphia,Women,1175.52,0.31,Outlet
EE4504,12/15/2021,Northeast,Pennsylvania,Philadelphia,Men,3088.84,0.53,Outlet
EE4697,12/16/2021,Northeast,Pennsylvania,Philadelphia,Men,761.6,0.32,Outlet
CM0044,12/17/2021,Northeast,Pennsylvania,Philadelphia,Women,548.72,0.38,Outlet
EE6045,12/18/2021,Northeast,Pennsylvania,Philadelphia,Women,516.8,0.38,Outlet
CG6091,12/19/2021,Northeast,Pennsylvania,Philadelphia,Men,425.7,0.33,Outlet
G27834,12/20/2021,Northeast,Pennsylvania,Philadelphia,Women,994.56,0.32,Outlet
CL7598,12/21/2021,Northeast,Pennsylvania,Philadelphia,Men,3571.2,0.6,Outlet
EE4709,12/22/2021,Northeast,Pennsylvania,Philadelphia,Men,1228.08,0.42,Outlet
EE4948,12/23/2021,Northeast,Pennsylvania,Philadelphia,Women,1364.88,0.44,Outlet
EE9671,12/24/2021,Northeast,Pennsylvania,Philadelphia,Women,1186.8,0.46,Outlet
EE7046,12/25/2021,Northeast,Pennsylvania,Philadelphia,Men,954.72,0.39,Outlet
EF0451,12/26/2021,Northeast,Pennsylvania,Philadelphia,Women,1431,0.36,Outlet
EE4561,12/27/2021,Northeast,Pennsylvania,Philadelphia,Men,4623.19,0.61,Outlet
CL7601,12/28/2021,Northeast,Pennsylvania,Philadelphia,Men,1637.95,0.41,Outlet
CL7330,12/29/2021,Northeast,Pennsylvania,Philadelphia,Women,1529.44,0.44,Outlet
CM6625,12/30/2021,Northeast,Pennsylvania,Philadelphia,Women,954,0.45,Outlet
FV3395,12/31/2021,Northeast,Pennsylvania,Philadelphia,Men,1004.64,0.39,Outlet
EF9317,1/1/2020,Northeast,Pennsylvania,Philadelphia,Women,1407.68,0.32,Outlet
EF4954,10/26/2021,Northeast,Pennsylvania,Philadelphia,Men,874.8,0.45,Online
EE7104,10/27/2021,Northeast,Pennsylvania,Philadelphia,Women,1154.12,0.44,Online
FV4070,10/28/2021,Northeast,Pennsylvania,Philadelphia,Men,3348.66,0.67,Online
FV3918,10/29/2021,Northeast,Pennsylvania,Philadelphia,Men,739.2,0.48,Online
EE5055,10/30/2021,Northeast,Pennsylvania,Philadelphia,Women,813.28,0.52,Online
CM6626,10/31/2021,Northeast,Pennsylvania,Philadelphia,Women,263.64,0.52,Online
CQ2030,11/1/2021,Northeast,Pennsylvania,Philadelphia,Men,844.56,0.46,Online
EE5292,11/2/2021,Northeast,Pennsylvania,Philadelphia,Women,1346.4,0.45,Online
BD8041,11/3/2021,Northeast,Pennsylvania,Philadelphia,Men,4116,0.7,Online
B37719,11/4/2021,Northeast,Pennsylvania,Philadelphia,Men,875.14,0.49,Online
EE4505,11/5/2021,Northeast,Pennsylvania,Philadelphia,Women,991.44,0.54,Online
CM0072,11/6/2021,Northeast,Pennsylvania,Philadelphia,Women,175.44,0.51,Online
EF0795,11/7/2021,Northeast,Pennsylvania,Philadelphia,Men,464,0.4,Online
EE5875,11/8/2021,Northeast,Pennsylvania,Philadelphia,Women,723.8,0.35,Online
EE4947,11/9/2021,Northeast,Pennsylvania,Philadelphia,Men,3535.56,0.63,Online
CM6627,11/10/2021,Northeast,Pennsylvania,Philadelphia,Men,850.5,0.42,Online
CQ2039,11/11/2021,Northeast,Pennsylvania,Philadelphia,Women,664.24,0.46,Online
CG6193,11/12/2021,Northeast,Pennsylvania,Philadelphia,Women,386.4,0.46,Online
S82260,11/13/2021,Northeast,Pennsylvania,Philadelphia,Men,508.2,0.42,Online
EE4945,11/14/2021,Northeast,Pennsylvania,Philadelphia,Women,933.12,0.36,Online
EE7155,11/15/2021,Northeast,Pennsylvania,Philadelphia,Men,4969.44,0.63,Online
B44846,11/16/2021,Northeast,Pennsylvania,Philadelphia,Men,1144.8,0.4,Online
EE6044,11/17/2021,Northeast,Pennsylvania,Philadelphia,Women,1004.64,0.46,Online
EH0192,11/18/2021,Northeast,Pennsylvania,Philadelphia,Women,695.13,0.47,Online
EE7045,11/19/2021,Northeast,Pennsylvania,Philadelphia,Men,768.18,0.42,Online
CL7646,11/20/2021,Northeast,Pennsylvania,Philadelphia,Women,1814.4,0.45,Online
CL7346,11/21/2021,Northeast,Pennsylvania,Philadelphia,Men,5616,0.65,Online
EE5777,11/22/2021,Northeast,Pennsylvania,Philadelphia,Men,1899.8,0.46,Online
AQ1210,11/23/2021,Northeast,Pennsylvania,Philadelphia,Women,1144,0.5,Online
EF5925,11/24/2021,Northeast,Pennsylvania,Philadelphia,Women,1074.84,0.53,Online
EE7032,11/25/2021,Northeast,Pennsylvania,Philadelphia,Men,1242,0.46,Online
EE7708,11/26/2021,Northeast,Pennsylvania,Philadelphia,Women,2211.3,0.42,Online
AQ1119,11/27/2021,Northeast,Pennsylvania,Philadelphia,Men,5829,0.67,Online
F34311,11/28/2021,Northeast,Pennsylvania,Philadelphia,Men,2475,0.5,Online
CL7645,11/29/2021,Northeast,Pennsylvania,Philadelphia,Women,1504.5,0.5,Online
EE5089,11/30/2021,Northeast,Pennsylvania,Philadelphia,Women,1189.32,0.53,Online
CL7565,12/1/2021,Northeast,Pennsylvania,Philadelphia,Men,1843.2,0.48,Online
G27727,12/2/2021,Northeast,Pennsylvania,Philadelphia,Women,2634.24,0.42,Online
B44697,12/3/2021,Northeast,Pennsylvania,Philadelphia,Men,6256.8,0.66,Online
CL7400,12/4/2021,Northeast,Pennsylvania,Philadelphia,Men,1903.5,0.47,Online
CL7437,12/5/2021,Northeast,Pennsylvania,Philadelphia,Women,1811.7,0.55,Online
CL7563,12/6/2021,Northeast,Pennsylvania,Philadelphia,Women,1659.96,0.54,Online
CL7460,12/7/2021,Northeast,Pennsylvania,Philadelphia,Men,1290.76,0.46,Online
CL7507,12/8/2021,Northeast,Pennsylvania,Philadelphia,Women,2614.4,0.43,Online
CM0061,12/9/2021,Northeast,Pennsylvania,Philadelphia,Men,5319.6,0.6,Online
F34308,12/10/2021,Northeast,Pennsylvania,Philadelphia,Men,1536,0.4,Online
CL7506,12/11/2021,Northeast,Pennsylvania,Philadelphia,Women,922.5,0.45,Online
CL7344,12/12/2021,Northeast,Pennsylvania,Philadelphia,Women,1021.31,0.47,Online
EE5318,12/13/2021,Northeast,Pennsylvania,Philadelphia,Men,810,0.45,Online
CL7564,12/14/2021,Northeast,Pennsylvania,Philadelphia,Women,1342,0.4,Online
CL7439,12/15/2021,Northeast,Pennsylvania,Philadelphia,Men,3546.4,0.62,Online
CL7345,12/16/2021,Northeast,Pennsylvania,Philadelphia,Men,1243.62,0.42,Online
CL7644,12/17/2021,Northeast,Pennsylvania,Philadelphia,Women,734.4,0.45,Online
CL7438,12/18/2021,Northeast,Pennsylvania,Philadelphia,Women,626.4,0.45,Online
CK9843,12/19/2021,Northeast,Pennsylvania,Philadelphia,Men,650.16,0.43,Online
EE8738,12/20/2021,Northeast,Pennsylvania,Philadelphia,Women,1474.2,0.39,Online
CL7576,12/21/2021,Northeast,Pennsylvania,Philadelphia,Men,4847.7,0.65,Online
CL7482,12/22/2021,Northeast,Pennsylvania,Philadelphia,Men,1551,0.47,Online
EE6129,12/23/2021,Northeast,Pennsylvania,Philadelphia,Women,1603.25,0.53,Online
EG3290,12/24/2021,Northeast,Pennsylvania,Philadelphia,Women,1256.64,0.51,Online
CL7467,12/25/2021,Northeast,Pennsylvania,Philadelphia,Men,1290.24,0.48,Online
EF1426,12/26/2021,Northeast,Pennsylvania,Philadelphia,Women,2030.6,0.44,Online
CL7264,12/27/2021,Northeast,Pennsylvania,Philadelphia,Men,5732.52,0.69,Online
CL7472,12/28/2021,Northeast,Pennsylvania,Philadelphia,Men,1707.75,0.45,Online
CL7560,12/29/2021,Northeast,Pennsylvania,Philadelphia,Women,1894.75,0.53,Online
EE4574,12/30/2021,Northeast,Pennsylvania,Philadelphia,Women,1601.13,0.53,Online
CL7445,12/31/2021,Northeast,Pennsylvania,Philadelphia,Men,1362.06,0.46,Online
CL7404,1/1/2020,Northeast,Pennsylvania,Philadelphia,Women,2426.92,0.43,Online
CL7515,2/8/2021,Northeast,Rhode Island,Providence,Women,6000,0.4,In-store
EE4763,2/8/2021,Northeast,Rhode Island,Providence,Men,16875,0.3,In-store
CL7616,2/8/2021,Northeast,Rhode Island,Providence,Women,31500,0.4,In-store
CL7591,3/6/2021,Northeast,Rhode Island,Providence,Men,54512.5,0.35,In-store
CK9831,3/6/2021,Northeast,Rhode Island,Providence,Men,18375,0.35,In-store
EF2508,3/6/2021,Northeast,Rhode Island,Providence,Women,17500,0.4,In-store
CL7495,3/6/2021,Northeast,Rhode Island,Providence,Women,3000,0.4,In-store
EE5592,3/6/2021,Northeast,Rhode Island,Providence,Men,10125,0.3,In-store
EE5398,3/6/2021,Northeast,Rhode Island,Providence,Women,24500,0.4,In-store
EE5304,4/7/2021,Northeast,Rhode Island,Providence,Men,52062.5,0.35,In-store
EE7242,4/7/2021,Northeast,Rhode Island,Providence,Men,15312.5,0.35,In-store
CM0064,4/7/2021,Northeast,Rhode Island,Providence,Women,12500,0.4,In-store
EE7885,4/7/2021,Northeast,Rhode Island,Providence,Women,6000,0.4,In-store
CM0049,4/7/2021,Northeast,Rhode Island,Providence,Men,6750,0.3,In-store
CL7548,4/7/2021,Northeast,Rhode Island,Providence,Women,28000,0.4,In-store
CK1088,5/6/2021,Northeast,Rhode Island,Providence,Men,82250,0.35,In-store
CL7263,5/6/2021,Northeast,Rhode Island,Providence,Men,27562.5,0.35,In-store
CL7483,5/6/2021,Northeast,Rhode Island,Providence,Women,32000,0.4,In-store
F34340,5/6/2021,Northeast,Rhode Island,Providence,Women,24000,0.4,In-store
CL7590,5/6/2021,Northeast,Rhode Island,Providence,Men,26250,0.3,In-store
CM0030,5/6/2021,Northeast,Rhode Island,Providence,Women,66000,0.4,In-store
CL7468,6/8/2021,Northeast,Rhode Island,Providence,Men,96250,0.35,In-store
EE8076,6/8/2021,Northeast,Rhode Island,Providence,Men,47250,0.35,In-store
CM5955,6/8/2021,Northeast,Rhode Island,Providence,Women,36000,0.4,In-store
B44870,6/8/2021,Northeast,Rhode Island,Providence,Women,32000,0.4,In-store
CL7265,6/8/2021,Northeast,Rhode Island,Providence,Men,30000,0.3,In-store
CL7484,6/8/2021,Northeast,Rhode Island,Providence,Women,77000,0.4,In-store
CL7537,7/6/2021,Northeast,Rhode Island,Providence,Men,100625,0.35,In-store
EE8088,7/6/2021,Northeast,Rhode Island,Providence,Men,51187.5,0.35,In-store
CL7577,7/6/2021,Northeast,Rhode Island,Providence,Women,40000,0.4,In-store
CM0058,7/6/2021,Northeast,Rhode Island,Providence,Women,32000,0.4,In-store
EE7698,7/6/2021,Northeast,Rhode Island,Providence,Men,33750,0.3,In-store
CM0009,7/6/2021,Northeast,Rhode Island,Providence,Women,88000,0.4,In-store
EE7884,8/7/2021,Northeast,Rhode Island,Providence,Men,96250,0.35,In-store
F36922,8/7/2021,Northeast,Rhode Island,Providence,Men,51187.5,0.35,In-store
DB3114,8/7/2021,Northeast,Rhode Island,Providence,Women,40000,0.4,In-store
F36217,8/7/2021,Northeast,Rhode Island,Providence,Women,24000,0.4,In-store
EE8272,8/7/2021,Northeast,Rhode Island,Providence,Men,18750,0.3,In-store
CL7538,8/7/2021,Northeast,Rhode Island,Providence,Women,66000,0.4,In-store
EF0695,9/6/2021,Northeast,Rhode Island,Providence,Men,74375,0.35,In-store
DB3599,9/6/2021,Northeast,Rhode Island,Providence,Men,35437.5,0.35,In-store
CL7321,9/6/2021,Northeast,Rhode Island,Providence,Women,20000,0.4,In-store
DB2117,9/6/2021,Northeast,Rhode Island,Providence,Women,16000,0.4,In-store
EE4698,9/6/2021,Northeast,Rhode Island,Providence,Men,15000,0.3,In-store
B28166,9/6/2021,Northeast,Rhode Island,Providence,Women,44000,0.4,In-store
DB3259,10/8/2021,Northeast,Rhode Island,Providence,Men,72187.5,0.35,In-store
EE5534,10/8/2021,Northeast,Rhode Island,Providence,Men,35000,0.35,In-store
EF0811,10/8/2021,Northeast,Rhode Island,Providence,Women,20000,0.4,In-store
CK9723,10/8/2021,Northeast,Rhode Island,Providence,Women,15000,0.4,In-store
CL7322,10/8/2021,Northeast,Rhode Island,Providence,Men,13500,0.3,In-store
CG6021,2/8/2021,Northeast,Rhode Island,Providence,Women,203.58,0.54,Online
CG6188,2/8/2021,Northeast,Rhode Island,Providence,Men,588.35,0.41,Online
BD7685,2/8/2021,Northeast,Rhode Island,Providence,Women,1136.85,0.53,Online
BD7475,3/6/2021,Northeast,Rhode Island,Providence,Men,1887,0.5,Online
EF9226,3/6/2021,Northeast,Rhode Island,Providence,Men,673.2,0.45,Online
F34668,3/6/2021,Northeast,Rhode Island,Providence,Women,609.96,0.52,Online
EE8257,3/6/2021,Northeast,Rhode Island,Providence,Women,116,0.5,Online
B37973,3/6/2021,Northeast,Rhode Island,Providence,Men,396,0.45,Online
EE7068,3/6/2021,Northeast,Rhode Island,Providence,Women,881.28,0.54,Online
EH1363,4/7/2021,Northeast,Rhode Island,Providence,Men,1740.48,0.49,Online
EE5772,4/7/2021,Northeast,Rhode Island,Providence,Men,528,0.5,Online
CG6104,4/7/2021,Northeast,Rhode Island,Providence,Women,449.28,0.52,Online
EF2437,4/7/2021,Northeast,Rhode Island,Providence,Women,199.81,0.53,Online
CM0070,4/7/2021,Northeast,Rhode Island,Providence,Men,264,0.4,Online
D96760,4/7/2021,Northeast,Rhode Island,Providence,Women,858,0.52,Online
CM0077,5/6/2021,Northeast,Rhode Island,Providence,Men,2989,0.5,Online
CM0091,5/6/2021,Northeast,Rhode Island,Providence,Men,948.15,0.45,Online
CL7550,5/6/2021,Northeast,Rhode Island,Providence,Women,1263.6,0.54,Online
F36675,5/6/2021,Northeast,Rhode Island,Providence,Women,892.32,0.52,Online
EF1065,5/6/2021,Northeast,Rhode Island,Providence,Men,901.6,0.4,Online
EH1361,5/6/2021,Northeast,Rhode Island,Providence,Women,2232.36,0.53,Online
CL0243,6/8/2021,Northeast,Rhode Island,Providence,Men,2918.7,0.45,Online
CG6177,6/8/2021,Northeast,Rhode Island,Providence,Men,1808.1,0.49,Online
FV3288,6/8/2021,Northeast,Rhode Island,Providence,Women,1394.25,0.55,Online
EE4949,6/8/2021,Northeast,Rhode Island,Providence,Women,1263.6,0.54,Online
BB2344,6/8/2021,Northeast,Rhode Island,Providence,Men,1141.44,0.41,Online
EE6080,6/8/2021,Northeast,Rhode Island,Providence,Women,2288.88,0.51,Online
EE6047,7/6/2021,Northeast,Rhode Island,Providence,Men,3456.9,0.45,Online
EF0078,7/6/2021,Northeast,Rhode Island,Providence,Men,1660.5,0.5,Online
EE5565,7/6/2021,Northeast,Rhode Island,Providence,Women,1250.6,0.52,Online
EF4965,7/6/2021,Northeast,Rhode Island,Providence,Women,1115.92,0.52,Online
EE4946,7/6/2021,Northeast,Rhode Island,Providence,Men,1184.4,0.4,Online
B37090,7/6/2021,Northeast,Rhode Island,Providence,Women,2900,0.5,Online
F36516,8/7/2021,Northeast,Rhode Island,Providence,Men,3157.44,0.48,Online
DB3112,8/7/2021,Northeast,Rhode Island,Providence,Men,1796.34,0.47,Online
EH1366,8/7/2021,Northeast,Rhode Island,Providence,Women,1567.5,0.55,Online
CG6164,8/7/2021,Northeast,Rhode Island,Providence,Women,764.79,0.53,Online
EE4959,8/7/2021,Northeast,Rhode Island,Providence,Men,558,0.4,Online
EF2438,8/7/2021,Northeast,Rhode Island,Providence,Women,2442.96,0.54,Online
F35567,9/6/2021,Northeast,Rhode Island,Providence,Men,2247.75,0.45,Online
EE8165,9/6/2021,Northeast,Rhode Island,Providence,Men,1155.84,0.48,Online
EE5846,9/6/2021,Northeast,Rhode Island,Providence,Women,697.68,0.51,Online
F34846,9/6/2021,Northeast,Rhode Island,Providence,Women,568.62,0.54,Online
B41663,9/6/2021,Northeast,Rhode Island,Providence,Men,520.29,0.41,Online
CK9690,9/6/2021,Northeast,Rhode Island,Providence,Women,1538.16,0.51,Online
EE7927,10/8/2021,Northeast,Rhode Island,Providence,Men,2491,0.5,Online
CK9688,10/8/2021,Northeast,Rhode Island,Providence,Men,1262.24,0.49,Online
CK9424,10/8/2021,Northeast,Rhode Island,Providence,Women,678.6,0.52,Online
CK9430,10/8/2021,Northeast,Rhode Island,Providence,Women,540.5,0.5,Online
CG6228,10/8/2021,Northeast,Rhode Island,Providence,Men,418,0.4,Online
DB3600,2/8/2021,Northeast,Rhode Island,Providence,Women,144,0.45,Outlet
